aam_name,grid_avl_all,grid_avl_all_usb,grid_avl_day,grid_avl_day_usb,grid_avl_oh,grid_avl_oh_usb,aam_avl_all,aam_avl_day,aam_avl_oh,avg_grid_daily_all,avg_grid_daily_day,avg_grid_daily_oh,avg_bl_duration,avg_bl_nu_d,avg_bl_nu_m,pv_kwh,avg_pv_daily,PR_aug,PR_sep,Yf_aug,Yf_sep,avg_load,load_kwh,load_kwh_pv,load_kwh_grid,load_kwh_bat,avg_load_daily,co2_load,cost_savings_load,co2_pv,cost_savings_pv
206,0.007,0.006,0.005,0.005,0.01,0.009,0.609,0.936,0.877,0.2,0.1,0.2,98.6,0.2,5.5,102.24,1.83,0.44,0.45,56.24,68.45,155.8,50.55,34.25,0.01,16.28,0.9,266.8,40.4,539.8,81.8
283,0.251,0.23,0.256,0.238,0.232,0.217,0.712,0.936,0.892,5.9,3.0,3.8,7.3,2.3,70.0,87.32,1.46,0.39,0.37,50.09,56.41,163.6,130.03,50.27,30.42,49.35,2.17,526.0,79.7,461.1,69.9
316,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.686,0.691,0.0,0.0,0.0,,0.0,0.0,95.59,1.59,0.44,0.39,55.96,60.61,145.2,92.0,48.84,0.0,43.15,1.77,485.7,73.6,504.7,76.5
376,0.166,0.142,0.144,0.11,0.129,0.097,0.96,0.963,0.967,4.0,1.7,2.1,7.1,2.8,83.0,75.06,1.25,0.34,0.32,43.02,48.52,113.2,18.89,6.67,0.93,11.29,0.34,94.8,14.4,396.3,60.0
511,0.05,0.006,0.045,0.001,0.056,0.001,0.615,0.86,0.868,1.1,0.5,0.9,22.5,0.7,22.0,116.66,1.98,0.55,0.47,70.5,71.76,53.3,43.34,25.22,0.21,17.91,0.73,227.7,34.5,615.9,93.3
524,0.401,0.316,0.385,0.292,0.413,0.321,0.986,0.986,0.985,9.6,4.6,6.8,4.3,3.3,100.0,90.04,1.5,0.53,0.45,56.81,52.99,1090.9,160.37,31.21,23.0,106.16,2.92,725.3,109.9,475.4,72.0
528,0.428,0.322,0.31,0.189,0.492,0.39,0.955,0.97,0.96,9.6,3.4,7.5,6.9,1.8,54.0,73.88,1.3,0.48,0.33,51.45,38.65,396.3,330.45,22.48,254.37,53.61,5.51,401.8,60.9,390.1,59.1
557,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.857,0.839,0.0,0.0,0.0,,0.0,0.0,138.9,2.31,0.64,0.57,81.95,87.44,207.2,172.01,90.04,0.0,81.97,2.87,908.2,137.6,733.4,111.1
563,0.524,0.249,0.586,0.266,0.584,0.218,0.735,0.848,0.806,12.6,7.0,9.6,4.0,2.6,77.5,91.51,1.53,0.48,0.33,61.53,50.07,167.5,127.29,18.27,83.62,25.4,2.19,230.6,34.9,483.2,73.2
576,0.258,0.208,0.26,0.194,0.257,0.195,0.886,0.972,0.967,6.2,3.1,4.2,3.9,4.5,136.0,105.06,1.75,0.49,0.43,62.15,65.98,169.4,93.64,41.27,3.45,48.92,1.56,476.2,72.2,554.7,84.0
602,0.566,0.309,0.567,0.267,0.572,0.261,0.944,0.969,0.966,13.6,6.8,9.4,2.3,4.6,137.5,90.01,1.5,0.34,0.43,43.69,66.08,236.8,91.52,40.08,4.74,46.69,1.58,458.2,69.4,475.2,72.0
645,0.09,0.056,0.11,0.049,0.096,0.051,0.918,0.907,0.92,2.0,1.2,1.5,17.7,1.1,34.0,97.14,1.62,0.46,0.39,59.1,59.37,176.1,146.64,60.81,20.29,65.55,2.44,667.2,101.1,512.9,77.7
654,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.916,0.909,0.0,0.0,0.0,,0.0,0.0,141.5,2.4,0.69,0.55,87.85,84.71,213.8,140.15,83.2,0.0,56.95,2.38,740.0,112.1,747.1,113.2
661,0.245,0.224,0.33,0.297,0.305,0.273,0.986,0.986,0.985,5.7,3.9,4.9,6.6,2.7,80.0,111.28,1.85,0.47,0.49,60.37,75.34,219.6,174.43,56.52,42.71,75.2,2.91,695.5,105.4,587.6,89.0
663,0.0,0.0,0.0,0.0,0.0,0.0,0.587,0.876,0.85,0.0,0.0,0.0,,0.0,0.0,135.46,2.26,0.66,0.52,84.51,80.68,161.7,131.56,75.36,0.0,56.2,2.19,694.6,105.2,715.2,108.4
