AAM_ID,latitude,longitude
945,9.1367330,7.3667410
528,4.9805460,8.3372480
698,5.0005392,8.3419492
691,7.3367640,9.0051730
563,8.9672580,7.4546000
511,8.4985647,8.5069799
654,8.4945480,8.5057770
663,8.5115490,8.5078510
1167,6.6370417,3.3803933
645,7.7234200,8.5415560
206,9.0119530,7.6493250
283,9.0344284,7.6058305
316,9.0406849,7.6017644
376,9.0393203,7.6014256
527,8.4753120,8.5853650
576,9.0257110,7.6077650
602,7.5996183,7.5996183
937,9.0424209,7.6075224
943,9.0293834,7.6010868
1076,9.0129580,7.6045370
524,5.0256640,7.9059520
