UTC,input_voltage_mcu,input_voltage_inv,output_voltage_inv,output_current_inv,battery_voltage_inv,temperature_inv,pv_input_voltage,pv_input_current,mppt_output_voltage,mppt_output_current,temperature_mppt,temperature_bat
2021-08-01 00:01:15,0.0,,229.6,0.0,23.4,39.3,0.29,0.0,23.72,0.0,32.63,27.55
2021-08-01 00:06:15,0.0,,229.7,0.0,23.4,36.4,0.34,0.0,23.69,0.0,32.5,27.74
2021-08-01 00:11:15,0.0,,229.6,0.0,23.4,37.6,0.25,0.0,23.71,0.0,32.41,27.7
2021-08-01 00:16:15,0.0,,229.7,0.0,23.4,38.2,0.33,0.0,23.68,0.0,32.4,27.58
2021-08-01 00:21:15,0.0,,229.6,0.0,23.4,38.7,0.1,0.0,23.66,0.0,32.39,27.62
2021-08-01 00:26:15,0.0,,229.6,0.0,23.4,38.9,0.14,0.0,23.67,0.0,32.41,27.62
2021-08-01 00:31:15,0.0,,229.7,0.0,23.4,39.2,0.11,0.0,23.65,0.0,32.43,27.51
2021-08-01 00:36:16,0.0,,229.7,0.0,23.4,36.4,0.33,0.0,23.65,0.0,32.31,27.61
2021-08-01 00:41:16,0.0,,229.7,0.0,23.4,37.6,0.44,0.0,23.63,0.0,32.22,27.56
2021-08-01 00:46:16,0.0,,229.8,0.0,23.4,38.1,0.17,0.0,23.63,0.0,32.21,27.63
2021-08-01 00:51:16,0.0,,229.6,0.0,23.4,38.5,0.13,0.0,23.62,0.0,32.25,27.5
2021-08-01 00:56:16,0.0,,229.6,0.0,23.4,38.8,0.45,0.0,23.6,0.0,32.29,27.61
2021-08-01 01:01:16,0.0,,229.7,0.0,23.4,39.2,0.11,0.0,23.6,0.0,32.34,27.5
2021-08-01 01:06:16,0.0,,229.7,0.0,23.4,36.6,0.44,0.0,23.6,0.0,32.24,27.75
2021-08-01 01:11:16,0.0,,229.6,0.0,23.4,37.5,0.47,0.0,23.58,0.0,32.19,27.59
2021-08-01 01:16:16,0.0,,229.7,0.0,23.4,38.1,0.47,0.0,23.56,0.0,32.19,27.55
2021-08-01 01:21:16,0.0,,229.6,0.0,23.4,38.6,0.1,0.0,23.57,0.0,32.22,27.52
2021-08-01 01:26:17,0.0,,229.6,0.0,23.4,38.8,0.26,0.0,23.55,0.0,32.27,27.52
2021-08-01 01:31:17,0.0,,229.7,0.0,23.2,39.0,0.5,0.0,23.53,0.0,32.3,27.54
2021-08-01 01:36:17,0.0,,229.7,0.0,23.4,36.6,0.38,0.0,23.53,0.0,32.19,27.63
2021-08-01 01:41:17,0.0,,229.7,0.0,23.2,37.5,0.11,0.0,23.51,0.0,32.09,27.47
2021-08-01 01:46:17,0.0,,229.8,0.0,23.2,38.5,0.1,0.0,23.5,0.0,32.08,27.45
